event_id,Alarm Text,time
e304,alarm_5,13427.0
e305,alarm_4,13427.0
e306,alarm_4,13450.0
e307,alarm_5,13473.0
e308,alarm_7,13487.0
e309,alarm_5,13596.0
e310,alarm_7,13683.0
e311,alarm_0,13888.0
e312,alarm_1,13902.0
e313,alarm_2,14079.0
e314,alarm_2,14079.0
e315,alarm_7,14100.0
e316,alarm_6,14100.0
e317,alarm_4,14100.0
e318,alarm_4,14100.0
e319,alarm_6,14101.0
e320,alarm_7,14177.0
e321,alarm_5,14210.0
e322,alarm_7,14211.0
e323,alarm_0,14350.0
e324,alarm_1,14375.0
e325,alarm_5,14421.0
e326,alarm_6,14438.0
e327,alarm_2,14438.0
e328,alarm_3,14438.0
e329,alarm_6,14438.0
e330,alarm_4,14440.0
e331,alarm_4,14449.0
e332,alarm_7,14513.0
e333,alarm_7,14605.0
e334,alarm_0,15087.0
e335,alarm_0,15196.0
e336,alarm_1,15237.0
e337,alarm_2,15324.0
e338,alarm_6,15368.0
e339,alarm_4,15396.0
e340,alarm_5,15399.0
e341,alarm_3,15425.0
e342,alarm_4,15455.0
e343,alarm_7,15460.0
e344,alarm_4,15496.0
e345,alarm_5,15586.0
e346,alarm_7,15672.0
e347,alarm_4,15691.0
e348,alarm_0,15714.0
e349,alarm_1,15719.0
e350,alarm_3,15811.0
e351,alarm_3,15819.0
e352,alarm_4,15827.0
e353,alarm_5,16006.0
e354,alarm_0,16058.0
e355,alarm_0,16073.0
e356,alarm_2,16182.0
e357,alarm_0,16303.0
e358,alarm_4,16303.0
e359,alarm_6,16303.0
e360,alarm_5,16320.0
e361,alarm_1,16388.0
e362,alarm_2,16538.0
e363,alarm_4,16548.0
e364,alarm_6,16552.0
e365,alarm_0,16641.0
e366,alarm_1,16710.0
e367,alarm_0,16731.0
e368,alarm_2,16731.0
e369,alarm_1,16731.0
e370,alarm_4,16732.0
e371,alarm_6,16741.0
e372,alarm_3,16762.0
e373,alarm_7,16819.0
e374,alarm_1,16998.0
e375,alarm_3,17045.0
e376,alarm_2,17046.0
e377,alarm_6,17067.0
e378,alarm_4,17077.0
e379,alarm_2,17098.0
e380,alarm_5,17098.0
e381,alarm_4,17100.0
e382,alarm_7,17102.0
e383,alarm_6,17110.0
e384,alarm_5,17163.0
e385,alarm_7,17171.0
e386,alarm_7,17229.0
e387,alarm_5,17235.0
e388,alarm_7,17258.0
e389,alarm_3,17313.0
e390,alarm_2,17413.0
e391,alarm_4,17485.0
e392,alarm_6,17500.0
e393,alarm_7,17533.0
e394,alarm_5,17589.0
e395,alarm_7,17629.0
e396,alarm_2,17721.0
e397,alarm_6,17721.0
e398,alarm_4,17727.0
e399,alarm_0,17734.0
e400,alarm_1,17758.0
e401,alarm_2,17775.0
e402,alarm_5,17777.0
e403,alarm_6,17791.0
e404,alarm_3,17810.0
e405,alarm_7,17841.0
e406,alarm_4,17858.0
e407,alarm_5,17875.0
e408,alarm_7,18073.0
e409,alarm_0,18250.0
e410,alarm_7,18326.0
e411,alarm_3,18359.0
e412,alarm_3,18440.0
e413,alarm_4,18440.0
e414,alarm_0,18441.0
e415,alarm_1,18447.0
e416,alarm_2,18461.0
e417,alarm_6,18472.0
e418,alarm_7,18492.0
e419,alarm_7,18539.0
e420,alarm_2,18565.0
e421,alarm_6,18572.0
e422,alarm_4,18585.0
e423,alarm_5,18634.0
e424,alarm_7,18646.0
e425,alarm_7,18748.0
e426,alarm_0,18766.0
e427,alarm_1,18802.0
e428,alarm_0,18806.0
e429,alarm_2,18880.0
e430,alarm_6,18915.0
e431,alarm_7,18929.0
e432,alarm_4,18939.0
e433,alarm_5,18964.0
e434,alarm_7,19208.0
e435,alarm_3,19271.0
e436,alarm_4,19443.0
e437,alarm_5,19467.0
e438,alarm_7,19475.0
e439,alarm_2,19494.0
e440,alarm_4,19513.0
e441,alarm_6,19516.0
e442,alarm_4,19618.0
e443,alarm_5,19663.0
e444,alarm_7,19872.0
e445,alarm_2,20154.0
e446,alarm_1,20165.0
e447,alarm_6,20168.0
e448,alarm_4,20216.0
e449,alarm_5,20223.0
e450,alarm_3,20385.0
e451,alarm_4,20416.0
e452,alarm_5,20457.0
e453,alarm_7,20499.0
e454,alarm_6,20504.0
e455,alarm_1,20564.0
e456,alarm_3,20567.0
e457,alarm_2,20586.0
e458,alarm_6,20608.0
e459,alarm_4,20623.0
e460,alarm_4,20638.0
e461,alarm_6,20694.0
e462,alarm_5,20694.0
e463,alarm_5,21036.0
e464,alarm_5,21036.0
e465,alarm_7,21036.0
e466,alarm_7,21036.0
e467,alarm_7,21044.0
e468,alarm_7,21288.0
e469,alarm_2,21359.0
e470,alarm_4,21386.0
e471,alarm_6,21408.0
e472,alarm_7,21446.0
e473,alarm_0,21774.0
e474,alarm_1,21843.0
e475,alarm_1,21843.0
e476,alarm_3,21845.0
e477,alarm_2,21868.0
e478,alarm_6,21910.0
e479,alarm_3,21932.0
e480,alarm_7,21947.0
e481,alarm_4,21997.0
e482,alarm_2,22016.0
e483,alarm_4,22037.0
e484,alarm_4,22037.0
e485,alarm_5,22041.0
e486,alarm_5,22226.0
e487,alarm_7,22426.0
e488,alarm_0,22615.0
e489,alarm_1,22662.0
e490,alarm_3,22674.0
e491,alarm_3,22680.0
e492,alarm_4,22727.0
e493,alarm_5,22770.0
e494,alarm_7,22771.0
e495,alarm_5,22864.0
e496,alarm_7,22881.0
e497,alarm_0,22969.0
e498,alarm_3,23051.0
e499,alarm_4,23057.0
